In Nigeria
TITLE,UUID
Canada Postal Codes,f1cacd92-bf82-11e0-ac4d-12313b015271
North American Atlas - Glaciers,aa2529f8-a32e-11e0-9812-12313b015271
Canadian Peatland Database- Snow & Ice,26dcdf96-a32e-11e0-9812-12313b015271
Canadian Peatland Database- Bog Distance,2795586a-a32d-11e0-9812-12313b015271
Canadian Peatland Database- FenDistance,7cf1197a-a32d-11e0-9812-12313b015271
Canadian Peatland Database- Peat,fd0397aa-a32d-11e0-9812-12313b015271
Potential Sediment Transport by Wind in the Prairie Provinces (PSTWPP)- EcoAtlas,42cdea4e-a32c-11e0-9812-12313b015271
"Canada Land Inventory (1:250,000) - Land Capability for Waterfowl",719f0fc4-a336-11e0-ad0c-12313b015271
"Canada Land Inventory (1:250,000) - Land Capability for Agriculture",acdfa092-a338-11e0-ad0c-12313b015271
"Canada Land Inventory (1:250,000) - Land Capability for Ungulates",fb32967a-a336-11e0-ad0c-12313b015271
"Canada Land Inventory (1:250,000) - Land Capability for Forestry",547972f2-a338-11e0-ad0c-12313b015271
Surficial Geology and Quaternary Geology of Alberta (Point Shapefile),500656d0-a32f-11e0-9812-12313b015271
Surficial Geology and Quaternary Geology of Alberta (Line Shapefile),de44c1c6-a32e-11e0-9812-12313b015271
Surficial Geology and Quaternary Geology of Alberta (Line Shapefile),e45da758-a32e-11e0-9812-12313b015271
Surficial Geology and Quaternary Geology of Alberta (Polygon Shapefile),8b9d6026-a32f-11e0-9812-12313b015271
"Alberta Bathymetry (GIS data, line features)",8bed7e00-a81e-11e0-bbbe-12313b015271
MLI (Manitoba Land Initiative)- Wastewater Treatment Facilities Lagoons,39e8b7a6-b218-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Wastesolid Treatment Facilities Lagoons,0ac2b01c-b218-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Vulnerability to contamination by Petroleum,9d0d5310-b217-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Hydrometric Gauging Station Network,30191c30-b217-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Ecological Areas,d5c89be2-b217-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Watershed and Drain Indexing Maps (Indexed Drain Lines),e4d45f42-b215-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Watershed and Drain Indexing Maps (Textual Annotation Names),8d19dd08-b216-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Watershed and Drain Indexing Maps (Road or Railway Culverts),666a8c20-b216-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Watershed and Drain Indexing Maps (Hydrography Symbols),86f0bb00-b215-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Watershed and Drain Indexing Maps (Road or Railway Bridges),34bb03e4-b216-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Manitoba Gross Watersheds,d71b743e-b216-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Manitoba Hydrometric Gauging Stations,729429ec-b217-11e0-a5fc-12313b015271
MLI (Manitoba Land Initiative)- Watershed and Drain Indexing Maps,c33bacce-b188-11e0-a5fc-12313b015271
Rocky Mountain Conservation Region Boundaries,5fe1db4a-a8ae-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Elevation Contours,dee7df18-a8b6-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Public Land Survey,0e5c1d98-a8b9-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Fences,4afed896-a8b7-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Experiment Exclosures,1832aca8-a8b7-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Streams,aa997200-a8b9-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Pastures (2009),cdf7ab5a-a8b8-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Vegetation,075aa996-a8ba-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Soils,869de1a6-a8b9-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Lakes,791cb518-a8b7-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Boundary,49f18508-a8b6-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Landmark,17f07472-a8b8-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Pastures,93104286-a8b8-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Roads,3ba1e904-a8b9-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Building Footprints,a6af3fec-a8b6-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Landforms,d8b7b3ec-a8b7-11e0-bbbe-12313b015271
CPER (Central Plains Experimental Range)- Landforms,b9737962-a8b7-11e0-bbbe-12313b015271
Marine Ecoregions of the World (MEOW),5d706c62-ae50-11e0-86f2-12313b015271
Freshwater Ecoregions of the World (FEOW),8b3d51fc-c307-11e0-a2bb-12313b015271
DU (Ducks Unlimited)- Flyways,59f1d50a-ae53-11e0-86f2-12313b015271
DU (Ducks Unlimited)- International Conservation Planning Regions (ICP),f4f5f186-ae52-11e0-86f2-12313b015271
DU (Ducks Unlimited)- Priority Areas,2746cec6-ae53-11e0-86f2-12313b015271
PFRA (Prairie Farm Rehabilitation Administration)- Hydrometric Gauging Station Network,176e4170-b2ed-11e0-a5fc-12313b015271
Incremental Effective Drainage Areas,bd1fab10-b2eb-11e0-a5fc-12313b015271
PFRA (Prairie Farm Rehabilitation Administration)- Incremental Non-Contributing Drainage Areas,487ee76a-b2ed-11e0-a5fc-12313b015271
PFRA (Prairie Farm Rehabilitation Administration)- Lines of Gross and Effective Drainage Area Boundaries,5f90c550-b2ec-11e0-a5fc-12313b015271
PFRA (Prairie Farm Rehabilitation Administration)- Major Drainage Systems,99161208-b2ec-11e0-a5fc-12313b015271
PFRA (Prairie Farm Rehabilitation Administration)- Environment Canada,a7ec12ea-b2ed-11e0-a5fc-12313b015271
PFRA (Prairie Farm Rehabilitation Administration)- Environment Canada 3-Character Sub-basins,da6a47e6-b2ed-11e0-a5fc-12313b015271
Incremental Effective Drainage Areas Dissolved,710584f2-b2eb-11e0-a5fc-12313b015271
PFRA (Prairie Farm Rehabilitation Administration)- Incremental Gross Drainage Areas,15cc487c-b2ec-11e0-a5fc-12313b015271
PFRA (Prairie Farm Rehabilitation Administration)- Hydrometric Gauging Stations,762f53de-b2ed-11e0-a5fc-12313b015271
PFRA (Prairie Farm Rehabilitation Administration)- Sub-basins,0ed11d2a-b2ee-11e0-a5fc-12313b015271
